t,o,h,l,c,v
1752724800000,221.08,224.2,220.71,223.92,43548026.0
1752811200000,225.29,225.36,221.98,222.33,49009884.0
1753070400000,223.54,224.41,221.25,221.43,28191417.0
1753156800000,221.62,223.81,220.66,223.27,30873278.0
1753243200000,224.82,226.71,224.065,226.68,37478061.0
1753329600000,225.515,225.8499,223.48,223.55,29446650.0
1753416000000,224.42,224.595,222.54,224.38,24555538.0
1753675200000,225.32,225.44,223.43,224.12,24934940.0
1753761600000,225.61,225.69,222.055,222.69,28685904.0
1753848000000,223.66,224.931,220.12,221.56,48924406.0
1753934400000,220.455,222.02,218.88,219.39,42913929.0
1754020800000,216.22,216.56,212.34,214.92,63854124.0
1754280000000,216.55,219.74,216.08,219.73,34989623.0
1754366400000,220.56,221.26,218.235,220.85,31337056.0
1754452800000,220.95,220.99,219.38,220.56,23142100.0
1754539200000,222.76,222.84,218.505,219.84,37088008.0
1754625600000,221.07,221.57,219.74,220.32,28318098.0
1754884800000,220.77,221.68,219.81,220.27,25212844.0
1754971200000,221.85,226.975,221.15,226.81,43991900.0
1755057600000,228.26,231.46,227.83,231.22,41705784.0
1755144000000,228.44,228.8,226.17,228.24,55945507.0
1755230400000,228.64,228.78,226.035,227.13,33571448.0
1755489600000,227.21,228.46,226.94,227.96,20144107.0
1755576000000,228.02,228.98,225.685,226.21,25000687.0
1755662400000,225.93,226.375,223.69,225.41,29229749.0
1755748800000,224.41,226.32,223.78,225.97,24539360.0
1755835200000,227.37,235.42,227.18,234.83,58205537.0
1756094400000,234.14,234.3,232.36,232.36,28453657.0
1756180800000,232.83,234.87,232.59,234.28,25121535.0
1756267200000,233.74,236.12,233.555,235.94,25395394.0
1756353600000,236.96,236.97,235.345,236.22,25011198.0
1756440000000,236.74,237.02,234.37,235.17,29254768.0
1756785600000,231.99,234.4,231.47,233.9,33108624.0
1756872000000,233.27,235.26,232.46,233.67,33252351.0
1756958400000,234.23,236.6665,233.58,236.59,30323833.0
1757044800000,237.72,239.68,234.95,237.77,47542498.0
1757304000000,238.51,238.56,236.39,238.25,31487732.0
1757390400000,237.9,237.96,235.42,236.85,35395784.0
1757476800000,237.305,238.27,235.46,236.43,33910156.0
1757563200000,236.85,240.9295,236.24,240.8,43629818.0
1757649600000,240.2,240.32,238.195,238.34,46097640.0
1757908800000,239.23,240.04,238.55,239.35,33014031.0
1757995200000,238.45,238.93,236.76,238.28,37059322.0
1758081600000,238.82,244.28,237.02,238.89,79955604.0
1758168000000,240.8,245.15,240.13,244.84,49167670.0
1758254400000,245.57,245.57,242.51,242.98,56092037.0
1758513600000,242.24,244.785,241.11,244.39,53572930.0
1758600000000,245.01,247.175,243.44,243.84,41854513.0
1758686400000,243.9,244.61,241.555,241.6,36002182.0
1758772800000,238.98,239.99,237.55,239.29,37209480.0
1758859200000,239.62,241.68,239.3344,241.34,28942766.0
1759118400000,242.84,242.93,240.81,241.62,26391483.0
1759204800000,241.11,242.125,239.4,241.96,33447721.0
1759291200000,240.57,243.04,240.55,242.49,28519998.0
1759377600000,243.0,244.09,241.47,244.02,28687401.0
1759464000000,245.35,248.09,245.03,245.83,34579610.0
1759723200000,247.73,248.475,246.065,246.81,31507374.0
1759809600000,247.36,247.64,243.19,244.16,31766601.0
1759896000000,245.28,246.955,243.8,246.72,25824957.0
1759982400000,246.31,247.25,244.01,245.13,26243148.0
1760068800000,245.75,246.885,237.56,237.79,70569415.0
1760328000000,241.83,244.63,241.4001,244.41,36298626.0
1760414400000,241.23,249.6,240.36,247.9,45320805.0
1760500800000,250.36,252.77,247.06,250.33,45369046.0
1760587200000,250.97,251.26,244.0,245.06,52740394.0
1760673600000,243.32,245.16,241.47,243.41,55379514.0
1760932800000,246.62,248.33,246.14,248.16,32545025.0
1761019200000,247.43,248.365,245.505,246.99,26337895.0
1761105600000,246.03,246.86,240.765,243.34,46578446.0
1761192000000,244.29,247.12,243.68,246.42,28591002.0
1761278400000,249.8,251.11,248.97,249.43,26627005.0
1761537600000,251.78,252.21,249.5,250.3,31798148.0
